Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2006,Incremento20052006,Floresta2006,Nuvem2006,NaoObservado2006,NaoFloresta2006,Hidrografia2006,Soma 
 141,-0.90151,-47.34586,S 0 54 5.44,O 47 20 45.10,Santarém Novo,1506906,PA,230,142.8,0.2,0,0.0,90.8,1.9,8.8,106
 142,-2.81346,-55.58935,S 2 48 48.46,O 55 35 21.66,Santarém,1506807,PA,22890,4409.3,56.5,11521.8,2407.3,0.3,663.5,3887.8,100
 143,-9.27666,-50.54546,S 9 16 35.98,O 50 32 43.66,Santana do Araguaia,1506708,PA,11609,6586.1,136.4,4149.3,0.0,0.3,808.4,64.9,99
 144,0.17769,-51.42352,N 0 10 39.68,O 51 25 24.67,Santana,1600600,AP,1578,69.1,1.9,440.3,83.7,0.6,940.0,44.3,100
 145,-6.48483,-47.76416,S 6 29 5.39,O 47 45 50.98,Santa Terezinha do Tocantins,1720002,TO,271,73.3,0.0,24.2,0.0,0.5,173.0,0.0,100
 146,-10.28750,-50.98703,S 10 17 15.00,O 50 59 13.31,Santa Terezinha,5107776,MT,6459,2435.9,35.0,2732.1,0.0,0.1,1243.7,47.2,100
 147,-10.29171,-47.74599,S 10 17 30.16,O 47 44 45.56,Santa Tereza do Tocantins,1719004,TO,543,0.0,0.0,0,0.0,0.0,543.7,0.0,100
 148,-11.41267,-48.13864,S 11 24 45.61,O 48 8 19.10,Santa Rosa do Tocantins,1718907,TO,1804,0.0,0.0,0,0.0,1804.2,1804.1,0.0,200
 149,-9.51622,-70.29089,S 9 30 58.39,O 70 17 27.20,Santa Rosa do Purus,1200435,AC,6350,64.2,1.9,6221.9,0.0,28.9,0.1,34.9,100
 150,-13.78307,-55.28772,S 13 46 59.05,O 55 17 15.79,Santa Rita do Trivelato,5107768,MT,4756,663.9,0.0,685.0,0.0,0.0,3407.1,0.0,100
 151,-10.96311,-49.32012,S 10 57 47.20,O 49 19 12.43,Santa Rita do Tocantins,1718899,TO,3285,20.1,0.2,0,0.0,1110.2,3247.0,0.2,133
 152,-3.15407,-44.33057,S 3 9 14.65,O 44 19 50.05,Santa Rita,2110203,MA,718,208.9,3.2,318.6,0.1,0.0,168.6,21.8,99
 153,-8.80099,-47.89796,S 8 48 3.56,O 47 53 52.66,Santa Maria do Tocantins,1718881,TO,1419,0.0,0.0,0,0.0,0.0,1410.6,9.3,100
 154,-1.36579,-47.53045,S 1 21 56.84,O 47 31 49.62,Santa Maria do Pará,1506609,PA,460,410.6,5.5,0,0.0,50.4,0.0,0.0,100
 155,-8.64175,-50.39224,S 8 38 30.30,O 50 23 32.06,Santa Maria das Barreiras,1506583,PA,10351,5494.3,80.6,2292.8,6.0,0.0,2508.9,49.0,99
 156,-2.52815,-45.77625,S 2 31 41.34,O 45 46 34.50,Santa Luzia do Paruá,2110039,MA,908,862.9,0.7,13.6,0.7,0.3,30.5,0.0,100
